Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
PMAODV,15,20,19,3,50.000000,0.250000,0.709573,11.932295,13.443288,10.133194,14792,10496,240542,4.243980,725.749970,0.069145,20
PMAODV,16,20,19,3,50.000000,0.250000,0.468023,8.307600,8.068135,4.714672,14792,6923,68954,1.844469,722.914189,0.104422,20
PMAODV,17,20,19,3,50.000000,0.250000,0.395146,7.014000,8.427982,5.328523,14792,5845,86066,2.726800,725.469193,0.124118,20
PMAODV,18,20,19,3,50.000000,0.250000,0.903326,15.190484,27.585364,14.081627,14792,13362,364624,5.053358,726.470102,0.054368,20
PMAODV,19,20,19,3,50.000000,0.250000,0.670565,11.902800,10.627522,8.504015,14792,9919,157400,2.938618,723.596753,0.072951,20
PMAODV,20,20,19,3,50.000000,0.250000,0.559424,9.407368,74.345436,27.631427,14792,8275,124148,2.778292,724.243716,0.087522,20
PMAODV,21,20,19,3,50.000000,0.250000,0.652380,10.970526,7.288095,5.005060,14792,9650,143476,2.753329,725.075806,0.075137,20
PMAODV,22,20,19,3,50.000000,0.250000,0.639805,10.759074,57.221304,28.600393,14792,9464,1010982,19.782216,729.750535,0.077108,20
PMAODV,23,20,19,3,50.000000,0.250000,0.790562,13.294232,16.233550,11.924892,14792,11694,930226,14.730979,736.710145,0.062999,20
PMAODV,24,20,19,3,50.000000,0.250000,0.870471,14.637979,32.183194,13.412257,14792,12876,129244,1.858813,724.705046,0.056283,20
PMAODV,25,20,19,3,50.000000,0.250000,0.779813,13.113474,11.603862,9.057540,14792,11535,181148,2.908186,724.482399,0.062807,20
PMAODV,26,20,19,3,50.000000,0.250000,0.917726,15.432632,12.990896,9.549025,14792,13575,180466,2.461851,726.085577,0.053487,20
PMAODV,27,20,19,3,50.000000,0.250000,0.876555,14.740295,7.528960,5.218302,14792,12966,109128,1.558606,727.223346,0.056087,20
PMAODV,28,20,19,3,50.000000,0.250000,0.752231,12.649642,49.808712,38.169399,14792,11127,1112790,18.520016,730.457935,0.065647,20
PMAODV,29,20,19,3,50.000000,0.250000,0.591130,9.940547,35.609200,4.713474,14792,8744,53528,1.133645,722.324385,0.082608,20
PMAODV,30,20,19,3,50.000000,0.250000,0.520890,8.759368,12.908065,8.361651,14792,7705,107138,2.574999,724.722256,0.094059,20
QMAODV,1,20,19,3,50.000000,0.250000,0.768456,12.922484,81.350291,43.631476,14792,11367,1022044,16.650603,738.471793,0.064966,20
QMAODV,2,20,19,3,50.000000,0.250000,0.254867,4.285895,333.742330,118.944557,14792,3770,1181642,58.043128,732.060686,0.194181,20
QMAODV,3,20,19,3,50.000000,0.250000,0.838967,14.108211,19.524193,13.221213,14792,12410,231682,3.457218,726.270670,0.058523,20
QMAODV,4,20,19,3,50.000000,0.250000,0.960925,16.159074,34.987261,11.243545,14792,14214,113894,1.483853,724.743342,0.050988,20
QMAODV,5,20,19,3,50.000000,0.250000,0.536303,9.519600,35.805366,6.500040,14792,7933,48906,1.141645,721.938012,0.091004,20
QMAODV,6,20,19,3,50.000000,0.250000,0.807937,13.586400,30.105260,19.693190,14792,11951,253578,3.929285,724.879982,0.060654,20
QMAODV,7,20,19,3,50.000000,0.250000,0.744930,12.526863,59.523138,40.586953,14792,11019,735354,12.358351,733.171883,0.066537,20
QMAODV,8,20,19,3,50.000000,0.250000,0.640076,10.763621,6.689649,5.069951,14792,9468,61508,1.203039,722.807263,0.076342,20
QMAODV,9,20,19,3,50.000000,0.250000,0.921174,15.490611,7.877724,5.153084,14792,13626,66754,0.907225,725.346460,0.053233,20
QMAODV,10,20,19,3,50.000000,0.250000,0.497904,8.372842,144.375760,55.847265,14792,7365,1040404,26.159865,738.139529,0.100223,20
QMAODV,11,20,19,3,50.000000,0.250000,0.433816,8.153365,7.081724,3.821446,14792,6417,77824,2.245886,723.807618,0.112795,20
QMAODV,12,20,19,3,50.000000,0.250000,0.883518,14.857389,10.964460,8.379886,14792,13069,130700,1.851994,726.901716,0.055620,20
QMAODV,13,20,19,3,50.000000,0.250000,0.500811,9.412518,6.438302,3.766853,14792,7408,64810,1.620120,723.179938,0.097621,20
QMAODV,14,20,19,3,50.000000,0.250000,0.828150,13.926316,7.046595,5.194764,14792,12250,64134,0.969524,724.619250,0.059153,20
QMAODV,15,20,19,3,50.000000,0.250000,0.514467,8.651368,8.104297,3.681159,14792,7610,42784,1.041125,723.676456,0.095095,20
QMAODV,16,20,19,3,50.000000,0.250000,0.442334,7.851600,5.901367,4.172332,14792,6543,65658,1.858305,723.171556,0.110526,20
QMAODV,17,20,19,3,50.000000,0.250000,0.691522,11.628758,30.276782,7.433982,14792,10229,83970,1.520188,725.850265,0.070960,20
QMAODV,18,20,19,3,50.000000,0.250000,0.791103,13.303326,9.717795,7.171444,14792,11702,126676,2.004659,726.566268,0.062089,20
QMAODV,19,20,19,3,50.000000,0.250000,0.535357,9.502800,11.115018,6.469851,14792,7919,58516,1.368392,724.084433,0.091436,20
QMAODV,20,20,19,3,50.000000,0.250000,0.699905,11.769726,45.035175,33.945817,14792,10353,633716,11.335344,723.615698,0.069894,20
QMAODV,21,20,19,3,50.000000,0.250000,0.759397,12.770147,24.616917,17.276329,14792,11233,839732,13.843668,725.415219,0.064579,20
QMAODV,22,20,19,3,50.000000,0.250000,0.592212,9.958737,68.052983,32.449437,14792,8760,729716,15.426095,729.273181,0.083250,20
QMAODV,23,20,19,3,50.000000,0.250000,0.698891,11.752674,27.319233,9.743076,14792,10338,236638,4.238910,727.536335,0.070375,20
QMAODV,24,20,19,3,50.000000,0.250000,0.858099,14.429937,25.736327,14.441522,14792,12693,235372,3.433972,724.812567,0.057103,20
QMAODV,25,20,19,3,50.000000,0.250000,0.755814,12.709895,15.481575,9.542483,14792,11180,133274,2.207547,724.818520,0.064832,20
QMAODV,26,20,19,3,50.000000,0.250000,0.888048,14.933558,13.300369,7.569224,14792,13136,190294,2.682676,726.388834,0.055298,20
QMAODV,27,20,19,3,50.000000,0.250000,0.741549,12.470021,52.624696,34.013267,14792,10969,799962,13.505435,736.051882,0.067103,20
QMAODV,28,20,19,3,50.000000,0.250000,0.432531,7.273516,77.037218,39.291370,14792,6398,269830,7.810022,727.771025,0.113750,20
QMAODV,29,20,19,3,50.000000,0.250000,0.572201,10.156800,43.839413,11.021903,14792,8464,61498,1.345524,722.853497,0.085403,20
QMAODV,30,20,19,3,50.000000,0.250000,0.682531,11.477558,15.303453,8.269737,14792,10096,121376,2.226331,724.084344,0.071720,20
QS2MAODV,1,20,19,3,50.000000,0.250000,0.907856,15.266653,35.232090,19.264997,14792,13429,370406,5.107879,727.953147,0.054208,20
QS2MAODV,2,20,19,3,50.000000,0.250000,0.224784,3.780000,197.115487,101.948214,14792,3325,1535984,85.546310,734.346822,0.220856,20
QS2MAODV,3,20,19,3,50.000000,0.250000,0.730124,12.277895,35.808290,24.911681,14792,10800,1282632,21.993004,725.399369,0.067167,20
QS2MAODV,4,20,19,3,50.000000,0.250000,0.927731,15.600884,23.248957,9.259726,14792,13723,90528,1.221631,724.197515,0.052773,20
QS2MAODV,5,20,19,3,50.000000,0.250000,0.621214,10.446442,43.864797,12.530272,14792,9189,90086,1.815496,722.085278,0.078581,20
QS2MAODV,6,20,19,3,50.000000,0.250000,0.786912,13.232842,36.120747,19.396325,14792,11640,210830,3.354175,724.813178,0.062269,20
QS2MAODV,7,20,19,3,50.000000,0.250000,0.730665,12.286989,56.119714,30.668391,14792,10808,702998,12.045227,732.738007,0.067796,20
QS2MAODV,8,20,19,3,50.000000,0.250000,0.696931,11.719705,9.856300,6.443451,14792,10309,67396,1.210665,722.791350,0.070113,20
QS2MAODV,9,20,19,3,50.000000,0.250000,0.918943,15.453095,8.860696,5.704537,14792,13593,67694,0.922234,725.247863,0.053355,20
QS2MAODV,10,20,19,3,50.000000,0.250000,0.566387,9.524463,22.269805,19.002221,14792,8378,1074976,23.760997,739.924093,0.088318,20
QS2MAODV,11,20,19,3,50.000000,0.250000,0.344173,6.872850,8.399696,5.048990,14792,5091,89132,3.242178,723.634089,0.142140,20
QS2MAODV,12,20,19,3,50.000000,0.250000,0.913196,15.356463,13.474925,9.909745,14792,13508,143432,1.966352,726.366371,0.053773,20
QS2MAODV,13,20,19,3,50.000000,0.250000,0.534478,10.045271,6.617113,4.020265,14792,7906,61052,1.430044,722.886804,0.091435,20
QS2MAODV,14,20,19,3,50.000000,0.250000,0.872296,14.668674,10.521851,7.619695,14792,12903,83320,1.195817,725.724962,0.056245,20
QS2MAODV,15,20,19,3,50.000000,0.250000,0.891225,14.986989,16.990757,10.020144,14792,13183,220682,3.099980,725.679110,0.055047,20
QS2MAODV,16,20,19,3,50.000000,0.250000,0.477555,8.476800,11.817350,5.402486,14792,7064,82952,2.174615,723.134094,0.102369,20
QS2MAODV,17,20,19,3,50.000000,0.250000,0.323688,6.083576,13.973291,11.486839,14792,4788,77170,2.984699,725.557723,0.151537,20
QS2MAODV,18,20,19,3,50.000000,0.250000,0.894064,15.034737,26.262303,11.625413,14792,13225,152938,2.141539,726.701710,0.054949,20
QS2MAODV,19,20,19,3,50.000000,0.250000,0.695105,12.338400,8.665953,6.060928,14792,10282,116530,2.098777,723.540981,0.070370,20
QS2MAODV,20,20,19,3,50.000000,0.250000,0.533734,8.975368,9.378245,6.731260,14792,7895,133934,3.141557,725.036134,0.091835,20
QS2MAODV,21,20,19,3,50.000000,0.250000,0.793807,13.348800,20.922909,14.498697,14792,11742,700768,11.051938,724.656742,0.061715,20
QS2MAODV,22,20,19,3,50.000000,0.250000,0.639941,10.761347,78.533039,32.197287,14792,9466,875562,17.128788,731.656410,0.077293,20
QS2MAODV,23,20,19,3,50.000000,0.250000,0.862088,14.497011,10.502460,8.506128,14792,12752,253242,3.677593,726.804290,0.056995,20
QS2MAODV,24,20,19,3,50.000000,0.250000,0.867631,14.590232,14.642995,8.705018,14792,12834,118176,1.705193,724.527869,0.056454,20
QS2MAODV,25,20,19,3,50.000000,0.250000,0.919551,15.463326,18.627992,11.445425,14792,13602,175646,2.391342,724.615706,0.053273,20
QS2MAODV,26,20,19,3,50.000000,0.250000,0.916509,15.412168,10.588896,8.534428,14792,13557,193606,2.644609,725.674514,0.053528,20
QS2MAODV,27,20,19,3,50.000000,0.250000,0.859045,14.445853,24.137271,14.501446,14792,12707,613542,8.941441,733.760885,0.057745,20
QS2MAODV,28,20,19,3,50.000000,0.250000,0.747634,12.572337,47.989160,36.541312,14792,11059,1095016,18.336264,732.431872,0.066229,20
QS2MAODV,29,20,19,3,50.000000,0.250000,0.597891,10.054232,35.406418,4.727458,14792,8844,53292,1.115885,722.785274,0.081726,20
QS2MAODV,30,20,19,3,50.000000,0.250000,0.760614,12.790611,12.256085,7.906188,14792,11251,162660,2.677293,724.585694,0.064402,20
AODV,1,20,19,3,50.000000,0.250000,0.580922,9.768884,81.364628,43.647571,14792,8593,1501518,32.358767,727.248110,0.084633,20
AODV,2,20,19,3,50.000000,0.250000,0.404408,7.178400,66.930300,15.332917,14792,5982,281344,8.709586,724.120713,0.121050,20
AODV,3,20,19,3,50.000000,0.250000,0.809965,13.620505,17.947557,12.362770,14792,11981,295464,4.566860,725.799334,0.060579,20
AODV,4,20,19,3,50.000000,0.250000,0.909072,15.287116,40.264010,16.845924,14792,13447,366572,5.048242,725.129914,0.053925,20
AODV,5,20,19,3,50.000000,0.250000,0.417050,7.013179,85.249524,17.029088,14792,6169,117388,3.523832,721.721920,0.116992,20
AODV,6,20,19,3,50.000000,0.250000,0.886696,14.910821,30.012197,17.067145,14792,13116,354018,4.998390,725.316897,0.055300,20
AODV,7,20,19,3,50.000000,0.250000,0.430909,7.648800,48.502912,13.302632,14792,6374,300554,8.732060,725.105487,0.113760,20
AODV,8,20,19,3,50.000000,0.250000,0.342009,6.070800,19.312532,7.739975,14792,5059,161564,5.914066,722.108506,0.142737,20
AODV,9,20,19,3,50.000000,0.250000,0.644673,10.840926,95.916092,30.468238,14792,9536,1511180,29.346492,724.509851,0.075976,20
AODV,10,20,19,3,50.000000,0.250000,0.546174,9.184547,35.533925,23.534013,14792,8079,684784,15.696479,733.430840,0.090782,20
AODV,11,20,19,3,50.000000,0.250000,0.474310,8.419200,42.108105,20.574222,14792,7016,690492,18.225326,727.813070,0.103736,20
AODV,12,20,19,3,50.000000,0.250000,0.828286,13.928589,27.183784,14.164745,14792,12252,353008,5.335607,725.296143,0.059198,20
AODV,13,20,19,3,50.000000,0.250000,0.847553,14.252589,15.066213,11.533534,14792,12537,290852,4.296202,727.676685,0.058042,20
AODV,14,20,19,3,50.000000,0.250000,0.667793,11.229726,16.007406,7.810624,14792,9878,186792,3.501833,723.802756,0.073274,20
AODV,15,20,19,3,50.000000,0.250000,0.761087,12.798568,40.328657,14.703252,14792,11258,204578,3.365146,725.631834,0.064455,20
AODV,16,20,19,3,50.000000,0.250000,0.692063,11.637853,89.035764,32.509057,14792,10237,884092,15.993039,731.868624,0.071492,20
AODV,17,20,19,3,50.000000,0.250000,0.688413,11.576463,51.495720,26.464420,14792,10183,1085660,19.743509,734.373283,0.072118,20
AODV,18,20,19,3,50.000000,0.250000,0.563615,9.477853,44.038234,13.063524,14792,8337,206048,4.576831,725.077323,0.086971,20
AODV,19,20,19,3,50.000000,0.250000,0.655287,11.019411,15.837840,13.862250,14792,9693,712932,13.620597,723.322384,0.074623,20
AODV,20,20,19,3,50.000000,0.250000,0.653394,10.987579,134.876046,34.213931,14792,9665,618452,11.849783,724.349085,0.074946,20
AODV,21,20,19,3,50.000000,0.250000,0.542185,9.117474,42.039920,10.691523,14792,8020,263382,6.081602,722.953626,0.090144,20
AODV,22,20,19,3,50.000000,0.250000,0.719173,12.093726,28.271067,13.008137,14792,10638,284796,4.957699,725.117088,0.068163,20
AODV,23,20,19,3,50.000000,0.250000,0.731882,12.307453,67.811131,28.091157,14792,10826,671810,11.491711,730.809668,0.067505,20
AODV,24,20,19,3,50.000000,0.250000,0.567604,9.544926,73.179488,29.240528,14792,8396,217118,4.788832,724.322154,0.086270,20
AODV,25,20,19,3,50.000000,0.250000,0.508924,8.558147,26.003436,14.254451,14792,7528,264396,6.504015,723.645924,0.096127,20
AODV,26,20,19,3,50.000000,0.250000,0.572810,9.632463,68.441924,29.143119,14792,8473,625072,13.661522,725.468582,0.085621,20
AODV,27,20,19,3,50.000000,0.250000,0.699297,11.759495,86.848958,27.184068,14792,10344,413256,7.398384,725.199995,0.070108,20
AODV,28,20,19,3,50.000000,0.250000,0.752096,12.647368,52.258179,30.701251,14792,11125,708868,11.799717,728.596916,0.065492,20
AODV,29,20,19,3,50.000000,0.250000,0.405016,6.810821,15.458765,8.860092,14792,5991,94530,2.921976,723.077020,0.120694,20
AODV,30,20,19,3,50.000000,0.250000,0.693889,11.668547,28.700469,12.966890,14792,10264,239772,4.326015,725.074609,0.070642,20
PMAODV,1,20,19,3,50.000000,0.250000,0.600527,10.098568,32.424733,22.015074,14792,8883,709204,14.784878,730.506674,0.082236,20
PMAODV,2,20,19,3,50.000000,0.250000,0.384262,6.820800,10.304891,8.468232,14792,5684,262996,8.568431,724.989185,0.127549,20
PMAODV,3,20,19,3,50.000000,0.250000,0.682463,11.476421,20.989870,14.178470,14792,10095,179126,3.285932,724.841700,0.071802,20
PMAODV,4,20,19,3,50.000000,0.250000,0.901771,15.164337,64.725928,21.795680,14792,13339,335214,4.653772,724.877427,0.054343,20
PMAODV,5,20,19,3,50.000000,0.250000,0.781233,13.137347,74.274858,20.733338,14792,11556,248486,3.981994,722.050688,0.062483,20
PMAODV,6,20,19,3,50.000000,0.250000,0.836736,14.070695,28.972318,17.690504,14792,12377,359550,5.379602,725.280807,0.058599,20
PMAODV,7,20,19,3,50.000000,0.250000,0.477758,8.034063,73.438243,33.996152,14792,7067,316448,8.292271,725.388728,0.102645,20
PMAODV,8,20,19,3,50.000000,0.250000,0.334911,5.944800,14.596530,10.578087,14792,4954,109110,4.078635,722.335247,0.145808,20
PMAODV,9,20,19,3,50.000000,0.250000,0.497363,8.363747,75.321609,30.050428,14792,7357,1858566,46.782505,724.392184,0.098463,20
PMAODV,10,20,19,3,50.000000,0.250000,0.697134,11.723116,32.814759,21.391709,14792,10312,554470,9.957295,730.422020,0.070832,20
PMAODV,11,20,19,3,50.000000,0.250000,0.524202,8.815074,28.393311,21.483460,14792,7754,392686,9.378338,724.953840,0.093494,20
PMAODV,12,20,19,3,50.000000,0.250000,0.635614,10.688589,29.816115,12.456295,14792,9402,230510,4.540208,723.526691,0.076955,20
PMAODV,13,20,19,3,50.000000,0.250000,0.645349,10.852295,12.474614,9.439173,14792,9546,228388,4.430555,725.676650,0.076019,20
PMAODV,14,20,19,3,50.000000,0.250000,0.765752,12.877011,62.032420,20.666206,14792,11327,571676,9.346334,723.537539,0.063877,20
PMAODV,15,20,19,3,50.000000,0.250000,0.762845,12.828126,34.449058,22.698414,14792,11284,644438,10.576070,725.203842,0.064268,20
PMAODV,16,20,19,3,50.000000,0.250000,0.685168,11.521895,99.528910,30.600077,14792,10135,679562,12.416854,730.470736,0.072074,20
PMAODV,17,20,19,3,50.000000,0.250000,0.397850,7.062000,6.729570,5.124073,14792,5885,151732,4.774600,723.706826,0.122975,20
PMAODV,18,20,19,3,50.000000,0.250000,0.712209,11.976632,34.721236,15.443637,14792,10535,399154,7.016365,726.081974,0.068921,20
PMAODV,19,20,19,3,50.000000,0.250000,0.655692,11.026232,16.569285,12.745201,14792,9699,401678,7.669328,723.520987,0.074597,20
PMAODV,20,20,19,3,50.000000,0.250000,0.752772,12.658737,60.729168,33.545674,14792,11135,534404,8.887625,728.000316,0.065379,20
PMAODV,21,20,19,3,50.000000,0.250000,0.793943,13.351074,51.385474,28.174519,14792,11744,1082960,17.076647,726.372935,0.061851,20
PMAODV,22,20,19,3,50.000000,0.250000,0.680976,11.451411,59.002834,17.051190,14792,10073,333392,6.129183,725.220761,0.071997,20
PMAODV,23,20,19,3,50.000000,0.250000,0.490535,8.248926,61.785958,18.895225,14792,7256,322958,8.242425,726.057932,0.100063,20
PMAODV,24,20,19,3,50.000000,0.250000,0.629462,10.585137,79.926239,24.409393,14792,9311,263218,5.235106,724.511706,0.077812,20
PMAODV,25,20,19,3,50.000000,0.250000,0.508451,8.550189,58.016107,26.674111,14792,7521,402050,9.899442,724.459604,0.096325,20
PMAODV,26,20,19,3,50.000000,0.250000,0.845457,14.217347,35.173311,22.783247,14792,12506,642214,9.509717,726.766332,0.058113,20
PMAODV,27,20,19,3,50.000000,0.250000,0.691455,11.627621,24.357913,15.003197,14792,10228,345900,6.262765,726.563968,0.071037,20
PMAODV,28,20,19,3,50.000000,0.250000,0.701257,11.792463,60.099377,28.549894,14792,10373,438214,7.823266,728.426097,0.070223,20
PMAODV,29,20,19,3,50.000000,0.250000,0.475933,8.003368,68.743646,25.669264,14792,7040,210606,5.539931,722.949403,0.102692,20
PMAODV,30,20,19,3,50.000000,0.250000,0.705111,11.857263,29.196299,13.479238,14792,10430,244084,4.333724,725.101219,0.069521,20
QMAODV,1,20,19,3,50.000000,0.250000,0.556652,9.360758,27.321695,20.616889,14792,8234,753534,16.947211,728.816743,0.088513,20
QMAODV,2,20,19,3,50.000000,0.250000,0.413940,7.347600,13.922709,8.651699,14792,6123,323858,9.794823,724.544252,0.118332,20
