Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,4,20,19,3,50.000000,0.100000,0.319270,13.437474,339.890511,143.238791,37022,11820,2982558,46.728050,733.375334,0.062045,20,0.90
QS2MAODV,8,20,19,3,50.000000,0.100000,0.553590,23.299579,70.701244,27.057843,37022,20495,763918,6.902478,727.091984,0.035477,20,0.90
QS2MAODV,6,20,19,3,50.000000,0.100000,0.298174,12.549600,235.060420,107.162474,37022,11039,2757334,46.255767,735.735254,0.066649,20,0.90
QS2MAODV,7,20,19,3,50.000000,0.100000,0.240668,10.129263,361.470229,165.968383,37022,8910,2770210,57.575965,743.466667,0.083442,20,0.90
QS2MAODV,10,20,19,3,50.000000,0.100000,0.272352,11.462779,141.174307,79.624087,37022,10083,1719568,31.581724,746.360833,0.074022,20,0.90
QS2MAODV,9,20,19,3,50.000000,0.100000,0.456999,19.234232,86.365720,44.718989,37022,16919,2085402,22.825554,737.779390,0.043607,20,0.90
QS2MAODV,11,20,19,3,50.000000,0.100000,0.221193,9.309600,250.001117,111.660387,37022,8189,2474006,55.946912,743.214532,0.090758,20,0.90
QS2MAODV,13,20,19,3,50.000000,0.100000,0.330776,15.559624,105.501036,61.508056,37022,12246,2271266,34.346302,728.934606,0.059524,20,0.90
QS2MAODV,14,20,19,3,50.000000,0.100000,0.596753,25.116253,132.366410,50.202336,37022,22093,1326572,11.119426,738.104599,0.033409,20,0.90
QS2MAODV,12,20,19,3,50.000000,0.100000,0.312004,13.131663,286.331575,136.219582,37022,11551,3668468,58.812737,745.102767,0.064505,20,0.90
QS2MAODV,15,20,19,3,50.000000,0.100000,0.406731,17.118568,57.729161,38.038744,37022,15058,905490,11.135830,733.176453,0.048690,20,0.90
QS2MAODV,18,20,19,3,50.000000,0.100000,0.439036,18.478232,135.021228,63.010851,37022,16254,2625370,29.911384,744.580690,0.045809,20,0.90
QS2MAODV,16,20,19,3,50.000000,0.100000,0.302118,12.715579,140.205313,70.342930,37022,11185,3154608,52.229474,737.269818,0.065916,20,0.90
QS2MAODV,17,20,19,3,50.000000,0.100000,0.324078,13.639832,304.369854,176.679538,37022,11998,3186856,49.188075,744.827903,0.062079,20,0.90
QS2MAODV,20,20,19,3,50.000000,0.100000,0.312085,13.135074,213.956650,94.017905,37022,11554,2413026,38.675495,734.725621,0.063591,20,0.90
QS2MAODV,19,20,19,3,50.000000,0.100000,0.338015,14.226442,146.406077,95.443350,37022,12514,2814674,41.652224,732.442638,0.058530,20,0.90
QS2MAODV,21,20,19,3,50.000000,0.100000,0.282454,11.887958,105.215360,57.369902,37022,10457,3313164,58.673510,737.032072,0.070482,20,0.90
QS2MAODV,23,20,19,3,50.000000,0.100000,0.256712,10.804547,123.717314,73.315420,37022,9504,2695984,52.531176,733.212301,0.077148,20,0.90
QS2MAODV,22,20,19,3,50.000000,0.100000,0.167738,7.059789,413.901218,206.294228,37022,6210,3464094,103.300948,737.364315,0.118738,20,0.90
QS2MAODV,24,20,19,3,50.000000,0.100000,0.459024,19.319495,163.187674,67.160073,37022,16994,1996646,21.757636,732.783289,0.043120,20,0.90
QS2MAODV,26,20,19,3,50.000000,0.100000,0.349468,14.708463,119.279148,65.947553,37022,12938,1790450,25.627208,746.156792,0.057672,20,0.90
QS2MAODV,25,20,19,3,50.000000,0.100000,0.338501,14.246905,219.221517,98.149023,37022,12532,3098334,45.784037,736.212795,0.058747,20,0.90
QS2MAODV,27,20,19,3,50.000000,0.100000,0.311085,13.093011,167.503113,77.379795,37022,11517,3263696,52.477915,744.196292,0.064617,20,0.90
