Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
PMAODV,10,20,19,3,50.0,0.05,0.175829,14.806232,255.633205,85.131411,74072,13024,2886692,41.045193,746.045074,0.057282,20
PMAODV,11,20,19,3,50.0,0.05,0.20557,17.310695,238.850513,75.005858,74072,15227,2776316,33.764536,743.653902,0.048838,20
PMAODV,12,20,19,3,50.0,0.05,0.234326,19.732168,268.999857,84.839856,74072,17357,3176112,33.886552,746.999219,0.043037,20
PMAODV,13,20,19,3,50.0,0.05,0.241171,20.308547,265.546242,83.205394,74072,17864,3176938,32.933377,743.635115,0.041628,20
PMAODV,14,20,19,3,50.0,0.05,0.212361,17.882526,189.060567,70.684642,74072,15730,2872520,33.817428,746.644507,0.047466,20
PMAODV,15,20,19,3,50.0,0.05,0.248164,20.897432,189.171676,62.976605,74072,18382,2462968,24.812598,741.183029,0.040321,20
PMAODV,16,20,19,3,50.0,0.05,0.196741,16.5672,237.409401,80.014574,74072,14573,3440300,43.717326,746.76266,0.051243,20
PMAODV,17,20,19,3,50.0,0.05,0.198159,16.686568,321.638789,92.630983,74072,14678,2927958,36.940622,745.702365,0.050804,20
PMAODV,18,20,19,3,50.0,0.05,0.225483,18.987537,250.298326,87.999289,74072,16702,3020944,33.495035,744.599578,0.044581,20
PMAODV,19,20,19,3,50.0,0.05,0.249568,21.015663,168.894482,55.29487,74072,18486,2631256,26.358846,740.027455,0.040032,20
PMAODV,20,20,19,3,50.0,0.05,0.152824,12.869053,254.848924,81.105366,74072,11320,2701090,44.187443,743.931679,0.065718,20
PMAODV,21,20,19,3,50.0,0.05,0.202398,17.043537,216.52752,76.602024,74072,14992,2997796,37.029576,746.766172,0.049811,20
PMAODV,22,20,19,3,50.0,0.05,0.189694,15.973768,270.48915,80.113649,74072,14051,3095686,40.7996,745.119653,0.05303,20
PMAODV,23,20,19,3,50.0,0.05,0.177233,14.924463,252.906886,86.661772,74072,13128,3166836,44.671779,745.459111,0.056784,20
PMAODV,24,20,19,3,50.0,0.05,0.228804,19.2672,219.392722,74.423295,74072,16948,2566164,28.039624,743.045071,0.043843,20
PMAODV,25,20,19,3,50.0,0.05,0.23037,19.399074,216.218629,69.26404,74072,17064,2982636,32.368729,744.500502,0.04363,20
PMAODV,26,20,19,3,50.0,0.05,0.243736,20.524547,211.62054,76.505192,74072,18054,3093350,31.7294,746.488133,0.041348,20
PMAODV,27,20,19,3,50.0,0.05,0.209215,17.617642,234.281526,81.161758,74072,15497,3111452,37.181055,746.734207,0.048186,20
PMAODV,28,20,19,3,50.0,0.05,0.20337,17.125389,250.659289,97.730512,74072,15064,2627322,32.298268,742.147639,0.049266,20
PMAODV,29,20,19,3,50.0,0.05,0.262312,22.088842,209.744402,75.926045,74072,19430,2606030,24.837784,743.255968,0.038253,20
PMAODV,30,20,19,3,50.0,0.05,0.237431,19.993642,243.761277,80.732452,74072,17587,2958098,31.147775,742.515329,0.04222,20
QMAODV,1,20,19,3,50.0,0.05,0.134909,11.360463,313.105684,105.39467,74072,9993,2512840,46.566671,744.775532,0.07453,20
QMAODV,2,20,19,3,50.0,0.05,0.153364,12.914526,359.568663,119.386374,74072,11360,2948964,48.072574,744.621045,0.065548,20
QMAODV,3,20,19,3,50.0,0.05,0.193798,16.319368,384.758813,139.323311,74072,14355,2404826,31.023208,742.030012,0.051691,20
QMAODV,4,20,19,3,50.0,0.05,0.15547,13.091874,361.715179,126.08037,74072,11516,2750332,44.227227,744.50018,0.064649,20
QMAODV,5,20,19,3,50.0,0.05,0.201237,16.945768,299.775211,106.865039,74072,14906,2734714,33.97481,740.495461,0.049678,20
QMAODV,6,20,19,3,50.0,0.05,0.188479,15.871453,364.684112,122.189126,74072,13961,2820446,37.411705,743.625612,0.053264,20
QMAODV,7,20,19,3,50.0,0.05,0.209175,18.5928,281.467306,88.428937,74072,15494,2398212,28.663569,740.851102,0.047815,20
QMAODV,8,20,19,3,50.0,0.05,0.191314,16.110189,122.041755,39.765025,74072,14171,1744432,22.79606,736.613725,0.05198,20
QMAODV,9,20,19,3,50.0,0.05,0.174938,14.7312,307.543252,137.029469,74072,12958,2529782,36.153585,746.914477,0.057641,20
