Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes,SweepParam
QS2MAODV,2,20,19,3,50.000000,0.100000,0.151153,6.361768,445.093998,325.164837,37022,5596,1792592,59.321208,742.174228,0.132626,20,5
QS2MAODV,1,20,19,3,50.000000,0.100000,0.230268,9.691579,180.352150,84.530351,37022,8525,2208800,47.980884,743.377568,0.087200,20,5
QS2MAODV,4,20,19,3,50.000000,0.100000,0.330506,13.910400,267.507409,108.111621,37022,12236,2532760,38.331941,733.375334,0.059936,20,5
QS2MAODV,3,20,19,3,50.000000,0.100000,0.270164,11.370695,324.985721,137.358634,37022,10002,3434256,63.584616,735.647127,0.073550,20,5
QS2MAODV,5,20,19,3,50.000000,0.100000,0.425234,17.897305,128.067716,59.753908,37022,15743,1527316,17.965845,725.275536,0.046070,20,5
QS2MAODV,8,20,19,3,50.000000,0.100000,0.620604,26.120084,119.456399,39.160692,37022,22976,504906,4.069512,727.091984,0.031646,20,5
QS2MAODV,6,20,19,3,50.000000,0.100000,0.406272,17.099242,198.236274,92.751578,37022,15041,2545898,31.345163,735.735254,0.048915,20,5
QS2MAODV,7,20,19,3,50.000000,0.100000,0.282805,11.902737,283.466215,142.509736,37022,10470,2569068,45.439669,743.454736,0.071008,20,5
QS2MAODV,9,20,19,3,50.000000,0.100000,0.405705,17.075368,154.353283,81.618520,37022,15020,2607476,32.148197,743.698969,0.049514,20,5
QS2MAODV,10,20,19,3,50.000000,0.100000,0.241127,10.148589,193.080386,106.572093,37022,8927,2631760,54.594260,746.360833,0.083607,20,5
QS2MAODV,11,20,19,3,50.000000,0.100000,0.231484,9.742737,245.741150,105.478120,37022,8570,2412150,52.123039,743.214532,0.086723,20,5
QS2MAODV,12,20,19,3,50.000000,0.100000,0.315137,13.263537,282.513455,133.557382,37022,11667,3648538,57.911647,745.102767,0.063864,20,5
QS2MAODV,13,20,19,3,50.000000,0.100000,0.331317,15.585035,107.318851,62.853941,37022,12266,2281704,34.447887,728.934606,0.059427,20,5
QS2MAODV,14,20,19,3,50.000000,0.100000,0.565691,23.808884,143.471496,65.730207,37022,20943,2154594,19.051659,738.104599,0.035243,20,5
