Protocol,Seed,nNodes,nFlows,MaxPaths,InitEnergy_J,PktInterval_s,PDR,Throughput_kbps,Delay_ms,Jitter_ms,TxPkts,RxPkts,CtrlBytes,NRL,EnergyConsumed_J,EnergyPerPkt_J,LiveNodes
PMAODV,11,20,19,3,1.000000,0.250000,0.409343,7.693412,11.639310,8.653381,14792,6055,66314,2.028137,14.567478,0.002406,20
PMAODV,13,20,19,3,1.000000,0.250000,0.537250,10.097365,6.127278,3.079255,14792,7947,82172,1.914815,14.642986,0.001843,20
PMAODV,12,20,19,3,1.000000,0.250000,0.950379,15.981726,10.824775,7.381721,14792,14058,175668,2.314064,14.569750,0.001036,20
PMAODV,10,20,19,3,1.000000,0.250000,0.529746,8.908295,133.907439,43.852150,14792,7836,1547920,36.581400,14.666268,0.001872,20
PMAODV,14,20,19,3,1.000000,0.250000,0.854178,14.364000,11.703052,6.870110,14792,12635,90038,1.319644,14.601177,0.001156,20
PMAODV,16,20,19,3,1.000000,0.250000,0.468023,8.307600,8.068135,4.714672,14792,6923,68954,1.844469,14.623682,0.002112,20
PMAODV,15,20,19,3,1.000000,0.250000,0.709573,11.932295,13.443288,10.133194,14792,10496,240542,4.243980,14.651906,0.001396,20
PMAODV,17,20,19,3,1.000000,0.250000,0.395146,7.014000,8.427982,5.328523,14792,5845,86066,2.726800,14.671894,0.002510,20
PMAODV,19,20,19,3,1.000000,0.250000,0.670565,11.902800,10.627522,8.504015,14792,9919,157400,2.938618,14.649000,0.001477,20
PMAODV,20,20,19,3,1.000000,0.250000,0.559424,9.407368,74.345436,27.631427,14792,8275,124148,2.778292,14.613428,0.001766,20
PMAODV,18,20,19,3,1.000000,0.250000,0.903326,15.190484,27.585364,14.081627,14792,13362,364624,5.053358,14.619725,0.001094,20
PMAODV,21,20,19,3,1.000000,0.250000,0.652380,10.970526,7.288095,5.005060,14792,9650,143476,2.753329,14.594045,0.001512,20
PMAODV,24,20,19,3,1.000000,0.250000,0.870471,14.637979,32.183194,13.412257,14792,12876,129244,1.858813,14.627990,0.001136,20
